RIC,Symbol,Exchange,CompanyName,Sector,Industry,Last
PMC.HN,PMC,HNX,Pharmedic Pharmaceutical Medicinal JSC,Healthcare,Pharmaceuticals,67200
PME.HM,PME,HOSE,Pymepharco JSC,Healthcare,Pharmaceuticals,84000
PMG.HM,PMG,HOSE,Petro Center Corp,Utilities,Gas Utilities,19000
PMJ.HNO,PMJ,UPCOM,Posts and Telecommunications Material Supply JSC,Industrials,Trading Companies & Distributors,22000
PMP.HN,PMP,HNX,Dam Phu My Packaging JSC,Materials,Containers & Packaging,11500
PMS.HN,PMS,HNX,Petroleum Mechanical JSC,Industrials,Industrial Conglomerates,18300
PMT.HNO,PMT,UPCOM,Telvina Vietnam Communication JSC,Information Technology,"Electronic Equipment, Instruments & Components",7000
PNC.HM,PNC,HOSE,Phuong Nam Cultural Joint Stock Corp,Industrials,Industrial Conglomerates,9500
PND.HNO,PND,UPCOM,Petrovietnam Oil Nam Dinh JSC,,,16300
PNG.HNO,PNG,UPCOM,Phu Nhuan Trading JSC,Industrials,Industrial Conglomerates,13800
PNJ.HM,PNJ,HOSE,Phu Nhuan Jewelry JSC,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",97400
PNT.HNO,PNT,UPCOM,Phu Nhuan Technical Construction JSC,,,7200
POB.HNO,POB,UPCOM,Petrovietnam Oil Thai Binh JSC,,,15100
POM.HM,POM,HOSE,Pomina Steel Corp,Materials,Metals & Mining,16100
POS.HNO,POS,UPCOM,PTSC Offshore Services JSC,Energy,Energy Equipment & Services,14900
POT.HN,POT,HNX,Post and Telecommunication Equipment JSC,Information Technology,Communications Equipment,14400
POV.HNO,POV,UPCOM,Vung Ang Petroleum JSC,Energy,"Oil, Gas & Consumable Fuels",8500
POW.HM,POW,HOSE,Petrovietnam Power Corp,Utilities,Electric Utilities,12150
PPC.HM,PPC,HOSE,Pha Lai Thermal Power JSC,Utilities,Electric Utilities,25100
PPE.HN,PPE,HNX,PetroVietnam Power Engineering Consulting JSC,Industrials,Construction & Engineering,13400
PPH.HNO,PPH,UPCOM,Phong Phu Corp,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",25400
PPP.HN,PPP,HNX,Phong Phu Pharmaceutical JSC,Healthcare,Pharmaceuticals,11800
PPS.HN,PPS,HNX,PertroVietnam Power Services JSC,Industrials,Construction & Engineering,9800
PPY.HN,PPY,HNX,PetroVietnam Oil Phu Yen JSC,Energy,"Oil, Gas & Consumable Fuels",11600
PRC.HN,PRC,HNX,Portserco Logistics JSC,Industrials,Road & Rail,12500
PRE.HN,PRE,HNX,PVI Reinsurance Joint-Stock Corp,Financial,Insurance,17800
PRO.HNO,PRO,UPCOM,Procimex Vietnam JSC,Consumer Staples,Food Products,4200
PRT.HNO,PRT,UPCOM,Binh Duong Producing and Trading Corp,Materials,Chemicals,15600
PSB.HNO,PSB,UPCOM,Sao Mai Ben Dinh Petroleum Investment JSC,Energy,Energy Equipment & Services,6900
PSC.HN,PSC,HNX,Petrolimex Saigon Transportation and Service JSC,Energy,"Oil, Gas & Consumable Fuels",14000
PSD.HN,PSD,HNX,Petroleum General Distribution Services JSC,Information Technology,"Electronic Equipment, Instruments & Components",16800
PSE.HN,PSE,HNX,South East PetroVietnam Fertilizer and Chemicals JSC,Materials,Chemicals,10200
PSG.HNO,PSG,UPCOM,Sai Gon Petroleum Construction and Investment JSC,Industrials,Construction & Engineering,900
PSH.HM,PSH,HOSE,Nam Song Hau Trading Investing Petroleum JSC,Energy,"Oil, Gas & Consumable Fuels",26600
PSI.HN,PSI,HNX,Petrovienam Securities Inc,Financial,Capital Markets,10100
PSL.HNO,PSL,UPCOM,Phu Son Livestock JSC,Consumer Staples,Food Products,26200
PSN.HNO,PSN,UPCOM,PTSC Thanh Hoa Port JSC,Energy,Energy Equipment & Services,9500
PSP.HNO,PSP,UPCOM,Dinh Vu Petroleum Services Port JSC,Industrials,Transportation Infrastructure,8100
